"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b3683",10,11,3,15,7,14
"b3684",10,15,11,31,17,25
"b3685",193,165,196,351,220,267
"b3686",26,42,28,76,65,53
"b3687",108,133,168,281,174,216
"b3688",140,155,156,250,169,240
"b3689",261,255,201,421,301,353
"b3690",24,21,9,57,46,48
"b3691",15,23,17,58,24,20
"b4478",25,25,30,68,39,45
"b4477",9,12,14,33,18,26
"b3693",35,44,34,79,50,88
"b4479",63,60,64,99,88,119
"b3696",32,33,26,63,56,66
"b3697",528,544,545,883,594,740
"b3698",74,65,80,77,47,58
"b3699",2135,2345,2087,3512,2400,3166
"b3700",328,291,205,382,219,349
"b3701",587,599,491,894,679,848
"b3702",1093,1068,1049,1687,1191,1485
"b4757",4,2,1,3,2,1
"b3703",902,875,781,744,576,668
"b3704",932,838,653,810,548,791
"b4557",445,372,260,315,195,284
"b3705",2990,3097,2538,2714,2071,2535
"b3706",401,403,368,685,433,588
"b3707",1,0,0,0,0,0
"b3708",23,25,18,37,18,30
"b3709",17,29,8,28,10,18
"b3710",23,34,17,27,16,23
"b3711",106,74,78,162,121,159
"b3712",82,90,91,153,96,111
"b3713",210,224,227,506,399,462
"b3714",924,984,715,1293,951,1097
"b3715",110,132,158,206,158,181
"b3716",35,45,37,139,87,83
"b3717",53,57,53,150,88,107
"b3718",17,36,27,35,25,39
"b3719",9,18,19,29,22,25
"b3720",18,20,6,18,18,15
"b3721",17,14,15,20,16,13
"b3722",129,118,85,171,109,136
"b3723",8,9,0,9,0,3
"b3724",315,335,345,888,520,728
"b3725",302,320,378,929,584,820
"b3726",205,204,158,671,467,607
"b3727",206,208,265,836,517,737
"b3728",429,331,536,1550,1094,1461
"b3729",3214,3070,3113,2988,2251,2836
"b3730",1368,1288,1313,1450,1060,1343
"b3731",3023,3542,3010,5648,4161,5200
"b3732",7525,8672,7812,14954,10855,13784
"b3733",6891,7406,6948,13480,9045,11854
"b3734",11418,12438,11375,23297,16819,21228
"b3735",2747,3015,2531,5606,4118,5077
"b3736",4118,4702,4501,8527,6220,8145
"b3737",2324,2301,2153,4573,3212,4227
"b3738",3769,4101,3378,6689,4972,6301
"b3739",582,497,414,897,568,777
"b3740",187,147,131,224,176,215
"b3741",910,986,727,1315,994,1201
"b3742",614,609,440,1532,968,1173
"b3743",32,50,39,51,25,41
"b3744",252,304,196,282,203,254
"b3745",172,177,137,290,193,218
"b3746",163,137,157,260,168,232
"b3747",241,266,206,253,180,218
"b3748",350,529,387,319,253,368
"b3749",163,177,125,191,136,186
"b3750",129,129,99,152,117,119
"b3751",249,248,285,356,256,348
"b3752",215,203,195,288,187,236
"b3753",71,97,67,143,90,121
"b3754",87,116,52,109,83,120
"b3755",193,265,220,268,183,263
"b4480",141,175,120,201,166,225
"b3764",412,442,401,505,356,358
"b3765",87,63,51,109,85,99
"b3766",347,331,303,392,272,365
"b4669",81,58,63,147,68,114
"b3769",110,141,135,162,113,127
"b3770",1042,1281,1144,1721,1153,1635
"b3771",1099,1240,1067,1744,1131,1686
"b3772",607,620,510,837,564,829
"b3773",108,123,92,186,119,150
"b3774",13994,17174,13531,19831,14392,16979
"b3775",205,191,121,215,137,165
"b3778",308,305,311,676,434,516
"b3779",918,572,692,931,701,834
"b3780",2011,1954,1782,2632,1828,2359
"b3781",1165,1192,892,1440,950,1352
"b3782",224,230,242,346,209,224
"b3783",3932,4143,3610,4319,3100,4062
"b3784",428,412,336,489,358,399
"b3785",441,459,389,541,394,504
"b3786",462,542,385,564,348,463
"b3787",373,409,287,384,290,310
"b3788",335,344,245,364,246,302
"b3789",191,231,185,220,144,189
"b3790",118,138,90,114,65,87
"b3791",313,319,248,315,209,305
"b3792",181,163,151,192,126,123
"b4481",170,184,131,185,137,158
"b3793",94,114,84,91,69,71
"b3794",103,124,86,131,89,92
"b3795",449,425,417,481,410,460
"b3800",25,31,9,27,27,24
"b3801",30,37,42,86,42,65
"b3802",702,826,719,1208,801,1052
"b3803",656,618,576,1083,704,870
"b3804",342,381,357,635,469,562
"b3805",513,565,475,918,644,794
"b3806",2867,3122,2510,4831,3411,3923
"b3807",54,90,58,133,66,94
"b3808",6,14,10,12,6,9
"b4558",242,197,196,343,199,261
"b3809",597,661,643,1048,732,955
"b3810",468,503,392,822,561,656
"b3811",584,618,491,999,666,878
"b3812",342,339,328,555,336,479
"b3813",656,797,634,995,688,757
"b4482",26,28,12,27,16,28
"b3816",283,281,296,301,209,257
"b3817",16,18,12,10,11,12
"b3818",1,11,1,4,2,1
"b3819",134,115,94,80,51,77
"b3820",123,121,92,127,67,119
"b3821",185,224,174,300,226,277
"b3822",373,385,283,620,378,472
"b3823",198,207,177,431,268,320
"b3824",112,160,94,237,159,178
"b3825",347,297,288,578,369,430
"b3826",295,289,266,526,397,458
"b3827",130,129,118,284,183,170
"b3828",133,115,93,278,205,207
"b3829",37960,44101,32418,42069,32099,31356
"b3830",789,800,606,934,662,741
"b3831",699,617,786,1161,822,984
"b3832",89,135,80,121,104,124
"b3833",542,524,486,833,562,691
"b3834",323,344,246,465,323,409
"b3835",436,531,358,617,431,499
"b3836",462,512,565,830,527,618
"b3838",604,639,592,1059,769,843
"b3839",442,412,377,610,429,516
"b4483",112,145,83,260,149,193
"b3842",133,103,83,175,102,130
"b3843",851,920,770,1448,964,1184
"b3844",621,638,532,1079,783,935
"b3845",99,121,90,97,71,88
"b3846",160,176,120,57,39,60
"b3847",1300,1416,1333,2310,1421,1979
"b3848",269,297,264,428,316,410
"b3849",362,345,269,466,305,417
"b3850",229,195,192,313,222,265
"b3856",63,62,48,107,61,85
"b3857",74,86,81,144,94,106
"b3858",142,155,153,179,121,184
"b3859",517,470,463,623,436,645
"b3860",675,786,735,1488,988,1264
"b3861",18,40,19,36,18,20
"b3862",50,54,52,53,32,58
"b3863",1159,1140,1224,1816,1220,1698
"b3865",322,393,355,536,422,491
"b3866",297,256,255,369,282,332
"b3867",625,619,544,875,586,855
"b4686",193,173,168,254,168,215
"b3868",270,347,271,456,286,355
"b3869",254,294,249,330,229,320
"b3870",3874,5290,3649,5938,3800,5911
"b3871",4671,5164,4091,6857,5156,6066
"b3872",29,29,23,27,18,25
"b3873",31,44,37,43,43,43
"b3874",23,15,14,19,9,13
"b3875",12,19,4,2,3,3
"b3876",20,27,15,19,8,20
"b3877",19,16,10,29,27,33
"b3878",22,20,30,37,24,41
"b3879",9,10,10,16,10,17
"b3880",36,40,40,59,45,63
"b3881",15,23,18,35,28,29
"b3882",13,11,13,22,14,23
"b3883",16,23,21,40,20,29
"b3884",134,129,125,225,162,201
"b3885",195,154,210,282,184,211
"b3886",188,166,164,258,179,246
"b3887",312,308,316,349,236,324
"b3888",597,662,613,840,625,681
"b3889",0,5,2,1,1,4
"b3890",11,9,11,17,12,12
"b3891",248,264,206,446,276,360
"b3892",53,34,35,61,39,56
"b3893",73,64,59,73,58,67
"b3894",966,1004,851,984,655,1262
"b3895",111,104,106,134,93,174
"b3896",14,16,19,20,6,19
"b3897",18,25,11,43,20,23
"b3898",13,26,20,58,29,42
"b3899",7,11,5,25,7,6
"b3900",4,2,1,6,1,2
"b3901",8,5,7,4,4,4
"b3902",19,18,10,18,18,20
"b3903",12,14,9,9,3,16
"b3904",6,13,9,15,10,7
"b3905",13,14,9,33,17,20
"b3906",18,19,28,43,27,32
"b3907",17,20,14,32,16,16
"b3908",7303,6700,6293,6651,4345,6987
"b3909",32,45,20,53,25,30
"b3910",209,192,192,338,255,344
"b3911",610,630,624,1013,697,941
"b3912",564,607,653,1079,723,918
"b4484",109,167,97,246,174,208
"b3915",337,291,305,536,398,435
"b3916",1696,1849,1989,2518,1741,2119
"b3917",488,275,214,408,337,370
"b3918",77,73,67,106,50,86
"b3919",2023,2142,2159,3628,2540,3065
"b3920",176,162,154,259,155,197
"b3921",55,56,42,71,45,62
"b3922",83,75,112,122,79,110
"b3923",215,261,284,338,280,311
"b3924",313,298,307,540,379,411
"b3925",334,356,298,490,356,439
"b3926",4021,4795,4197,9915,6542,9096
"b3927",911,1100,921,1942,1327,1949
"b3928",527,567,553,632,518,646
"b3929",765,1022,887,1318,954,1250
"b3930",170,142,137,149,111,134
"b3931",1158,1381,1238,1762,1251,1829
"b3932",301,316,292,390,283,379
"b3933",403,375,419,712,449,628
"b3934",286,279,251,559,387,455
"b3935",254,228,199,417,264,373
"b3936",1993,1997,1441,1709,1219,1531
"b3937",117,113,68,108,88,102
"b3938",297,260,198,397,303,354
"b3939",740,528,428,751,577,583
"b3940",1457,1287,887,1438,1020,1100
"b3941",1127,890,639,1363,1057,1077
"b3942",2559,2016,2820,1818,1448,2356
"b3943",55,57,38,81,54,75
"b3944",13,16,14,31,10,17
"b3945",67,58,112,104,80,121
"b3946",10,12,6,17,18,16
"b3947",23,27,29,28,20,25
"b3949",5,8,6,6,1,6
"b3950",4,6,5,6,4,8
"b3951",66,65,57,82,66,45
"b3952",14,23,8,24,13,20
"b3953",8,12,11,26,13,23
"b3954",61,63,80,105,84,111
"b3955",820,927,771,994,744,878
"b3956",8988,9391,8703,11080,7474,10721
"b3957",741,678,664,1047,770,735
"b3958",782,622,361,779,656,424
"b3959",843,724,404,813,620,463
"b3960",1127,1121,603,1083,805,594
"b3961",626,677,667,819,591,713
"b3962",1171,1271,1032,1665,1149,1728
"b3963",412,397,362,712,471,649
"b3964",194,228,191,393,213,328
"b3965",426,390,394,512,396,425
"b3966",910,1051,872,1368,967,1096
"b3967",205,277,206,392,288,385
"b3972",343,354,356,577,442,543
"b3973",254,294,286,478,356,428
"b3974",281,264,271,406,251,311
"b3980",47560,54719,47734,69690,53287,62608
"b3981",980,946,742,840,654,771
"b3982",1245,1236,1027,1428,965,1210
"b3983",3554,3602,2770,3368,2507,2944
"b3984",9340,10260,8460,9417,7326,8321
"b3985",12127,14297,11809,13854,10249,12425
"b3986",7913,8985,7164,8449,6727,7756
"b3987",17555,18599,17427,21946,16507,20177
"b3988",17047,18571,16927,22472,16312,19514
"b3989",54,53,44,55,37,46
"b3990",2195,2166,2021,4224,3394,3078
"b3991",1323,1264,1279,2610,2009,1888
"b4407",290,329,269,598,478,420
"b3992",1374,1394,1241,2598,2102,1899
"b3993",1158,1147,1055,2104,1833,1657
"b3994",5141,5113,4972,10000,7846,7095
"b3995",419,459,460,560,368,474
"b3996",267,283,238,362,229,282
"b3997",568,628,558,859,682,824
"b3998",233,238,227,399,249,325
"b3999",253,276,186,386,305,297
"b4000",3358,3545,3481,4238,2923,3603
"b4001",148,124,119,181,108,170
"b4002",22,20,13,26,16,20
"b4003",34,27,22,52,41,52
"b4004",102,115,118,222,144,167
"b4005",1410,1418,1087,1776,1411,1551
"b4006",1651,1684,1354,2213,1722,2098
"b4011",23,24,22,51,26,28
"b4012",23,30,32,56,36,41
"b4013",674,633,501,1321,862,929
"b4014",13073,12466,13349,47554,29007,42798
"b4015",11334,11506,11168,39042,23590,34930
"b4016",2210,2203,1753,6261,3837,5276
"b4017",106,103,67,164,65,123
"b4018",445,557,390,655,445,547
"b4019",2466,2572,2469,2196,1510,2156
"b4020",154,159,157,178,144,168
"b4021",50,46,71,69,46,63
"b4022",271,286,271,448,276,360
"b4023",190,183,165,131,67,96
"b4024",2367,3066,2401,1036,735,932
"b4025",2818,2859,2788,4247,2899,3533
"b4026",58,60,38,64,49,57
"b4027",6,12,12,9,6,7
"b4028",0,6,4,7,6,13
"b4029",34,32,23,55,44,51
"b4620",9,10,3,8,14,5
"b4030",50,60,64,79,52,63
"b4031",64,55,63,115,78,93
"b4032",32,75,37,174,133,195
"b4033",69,113,101,332,295,363
"b4034",354,524,451,1874,1398,1843
"b4035",69,117,88,313,227,314
"b4036",210,374,371,864,630,943
"b4037",176,261,243,478,363,462
"b4039",209,189,174,355,265,305
"b4040",198,185,145,371,240,296
"b4041",1232,1265,1101,2361,1658,2095
"b4042",97,92,84,163,97,157
"b4043",366,468,408,508,334,434
"b4044",78,96,59,92,58,71
"b4045",50,55,55,59,57,45
"b4046",104,166,111,167,123,124
"b4047",1,3,1,2,0,0
"b4048",10,14,5,14,7,6
"b4049",199,218,203,292,212,274
"b4050",8,12,6,10,7,12
"b4051",323,327,393,500,356,390
"b4052",818,814,727,1233,825,1005
"b4053",382,404,323,618,438,528
"b4054",1411,1328,1302,2740,1925,2353
"b4621",0,4,1,1,1,3
"b4055",37,59,49,85,67,76
"b4056",269,250,259,468,350,413
"b4057",110,127,127,286,176,244
"b4058",738,823,662,1047,727,884
"b4059",578,588,502,795,554,681
"b4060",86,93,73,76,47,35
"b4061",67,70,62,105,67,85
"b4062",61,77,41,61,67,80
"b4063",21,31,14,35,33,39
"b4064",1090,1034,800,1243,973,1132
"b4065",385,355,344,471,341,476
"b4066",9,13,4,11,5,3
"b4067",110,129,102,105,69,120
"b4068",30,41,16,14,16,19
"b4069",538,564,475,452,274,479
"b4070",36,45,43,42,20,34
"b4071",3,11,5,12,5,7
"b4072",3,10,6,12,2,7
"b4073",7,16,11,11,4,8
"b4074",22,14,13,23,12,19
"b4075",3,5,0,6,2,4
"b4076",6,10,8,10,11,16
"b4077",213,184,217,526,379,541
"b4078",162,161,180,472,305,348
"b4079",106,123,118,155,155,152
"b4080",3,8,14,13,4,14
"b4081",18,16,18,30,14,25
"b4082",3,13,10,26,10,13
"b4622",1,1,0,8,2,1
"b4083",13,17,9,24,16,20
"b4084",38,30,35,57,34,60
"b4085",17,29,16,27,16,9
"b4086",12,33,19,16,16,25
"b4087",26,16,16,26,7,14
"b4088",25,12,22,28,15,25
"b4089",114,135,95,129,102,138
"b4090",16,26,27,39,18,36
"b4487",34,52,34,62,31,48
"b4092",56,36,59,71,65,68
"b4093",28,19,25,32,16,29
"b4094",2,6,5,4,3,7
"b4095",7,15,9,19,13,20
"b4096",21,16,11,50,28,35
"b4097",10,15,9,20,8,19
"b4098",9,13,3,9,5,6
"b4099",8,11,10,12,7,6
"b4100",1,2,1,9,2,10
"b4101",1,2,2,3,2,0
"b4102",7,5,8,8,1,8
"b4105",6,15,5,8,6,10
"b4106",4,6,1,6,1,4
"b4107",30,12,27,27,15,18
"b4108",86,59,79,53,44,53
"b4109",963,1040,1120,990,652,781
"b4110",1192,1392,1376,894,727,678
"b4111",1853,1934,1614,1500,1074,1274
"b4703",37,36,17,38,24,24
"b4112",123,120,87,151,95,157
"b4113",84,86,73,131,78,112
"b4114",28,30,19,28,18,19
"b4115",10,16,6,32,15,13
"b4116",14,22,13,31,19,16
"b4117",63,53,35,75,45,70
"b4118",33,59,40,101,94,76
"b4119",32,40,36,51,36,43
"b4120",62,76,46,84,66,76
"b4121",46,60,45,103,67,69
"b4122",31,45,46,62,38,50
"b4123",16,13,18,40,29,17
"b4124",93,113,99,183,152,191
"b4125",192,154,185,277,223,256
"b4126",29,36,35,31,11,14
"b4127",79,113,76,85,51,74
"b4128",4,7,6,6,4,5
"b4559",3,3,1,4,2,1
"b4129",284,337,310,584,436,474
"b4130",40,37,33,63,48,48
"b4131",26,40,31,43,48,36
"b4132",9,10,8,16,3,17
"b4133",28,38,21,60,39,49
"b4135",346,390,380,589,381,452
"b4136",464,428,415,701,490,575
"b4137",145,180,168,226,203,210
"b4138",995,1061,1112,1680,1243,1499
"b4139",202,220,208,368,232,254
"b4140",78,72,41,95,66,77
"b4141",210,213,190,295,190,247
"b4142",874,1095,1083,2058,1635,2355
"b4143",7423,8897,8881,17761,13445,17817
"b4144",664,680,696,1169,747,859
"b4145",160,155,122,250,195,186
"b4146",334,343,282,424,318,362
"b4147",1369,1399,1210,1366,1064,1197
"b4410",90,86,77,122,89,89
"b4411",141,100,107,97,63,58
"b4148",62,43,26,67,30,35
"b4149",81,47,72,76,44,51
"b4150",96,105,73,137,104,85
"b4151",29,35,44,36,36,31
"b4152",22,29,29,35,12,29
"b4153",55,42,85,75,42,64
"b4154",188,146,266,222,145,222
"b4155",110,104,68,103,77,88
"b4156",19,35,20,34,19,20
"b4157",1,12,6,13,7,3
"b4158",23,34,15,36,30,36
"b4159",390,386,363,593,439,509
"b4160",753,857,748,1114,818,1046
"b4161",823,853,739,1294,908,1082
"b4162",175,176,197,334,255,250
"b4670",5,5,5,11,3,3
"b4166",155,201,132,247,194,183
"b4167",297,282,289,405,283,379
"b4168",124,114,111,166,107,125
"b4169",314,293,251,443,306,356
"b4170",545,556,447,735,555,723
"b4171",1469,1589,1619,2398,1766,2102
"b4172",1624,1939,1769,2490,1788,2089
"b4173",1990,2161,1928,2662,1827,2366
"b4174",2626,2924,2548,3199,2363,2912
"b4175",1803,1956,1941,1984,1514,1815
"b4176",21,21,11,21,11,16
"b4177",5407,5182,5125,14742,9792,12758
"b4178",199,279,174,290,197,239
"b4179",1537,1912,1644,2704,1940,2223
"b4180",334,270,284,453,328,321
"b4181",4,8,0,5,3,6
"b4182",3,7,5,16,9,8
"b4183",7,2,4,6,2,6
"b4184",0,2,3,2,1,5
"b4185",1,10,3,5,2,1
"b4186",8,18,6,18,13,12
"b4187",128,151,128,170,109,109
"b4188",23,28,30,35,17,18
"b4189",23,26,27,30,22,23
"b4190",101,92,76,155,117,154
"b4191",85,97,72,137,96,111
"b4192",28,54,20,54,38,51
"b4193",20,16,4,14,11,18
"b4194",6,4,5,7,0,8
"b4195",12,15,11,14,13,15
"b4196",24,13,24,31,32,32
"b4197",22,27,27,37,34,30
"b4198",23,28,24,46,24,41
"b4199",19,15,6,22,13,20
"b4200",5450,5491,4471,4832,3694,4375
"b4201",2702,3132,2222,2608,2037,2521
"b4202",2695,3065,2262,2318,1910,2327
"b4203",3251,3486,2832,3166,2453,2863
"b4204",30,30,23,38,25,20
"b4206",389,500,520,861,538,683
"b4207",829,906,718,1013,719,881
"b4208",561,674,574,939,726,895
"b4209",43,39,30,55,33,41
"b4210",58,59,45,79,65,66
"b4211",72,87,64,106,69,106
"b4212",21,32,30,45,31,28
"b4213",365,415,385,682,502,642
"b4214",245,272,282,323,276,287
"b4215",16,23,16,21,13,20
"b4216",32,23,25,31,27,36
"b4217",112,128,118,196,107,136
"b4218",157,119,144,204,149,171
"b4219",328,343,396,529,378,471
"b4220",445,496,458,676,528,609
"b4221",755,861,689,1221,760,961
"b4222",9,15,8,18,16,16
"b4223",0,0,0,1,0,0
"b4224",11,16,17,34,20,16
"b4225",55,64,61,97,65,81
"b4226",3044,2883,2778,3654,2728,3237
"b4227",51,80,61,75,59,70
"b4485",41,75,44,77,51,73
"b4230",22,29,17,27,15,26
"b4231",44,54,25,74,45,52
"b4232",776,801,790,1880,1367,1672
"b4233",908,983,895,1497,1022,1244
"b4234",343,338,350,404,293,351
"b4235",672,708,707,1330,880,1146
"b4237",19,28,35,51,32,39
"b4238",156,168,238,519,306,430
"b4239",24,31,31,55,21,30
"b4240",46,20,25,57,29,28
"b4241",121,105,131,166,121,169
"b4702",13,7,4,17,6,13
"b4242",392,403,325,193,90,128
"b4243",1877,1738,1405,2638,2364,2630
"b4244",2748,2730,2287,3497,3440,3670
"b4245",5947,5662,4763,7499,7500,8096
"b4246",68,41,31,34,24,33
"b4248",27,28,30,38,19,26
"b4249",22,29,20,30,29,13
"b4251",114,104,87,83,60,69
"b4252",177,185,181,257,155,222
"b4253",77,87,65,105,74,74
"b4254",679,549,391,368,344,238
"b4255",548,690,509,1273,910,1015
"b4256",111,106,88,160,93,114
"b4257",20,41,13,24,5,19
"b4258",3917,4290,3847,4964,3559,4355
"b4259",377,357,299,449,314,376
"b4260",1667,1690,1780,2290,1632,1987
"b4261",504,497,443,595,430,508
"b4262",413,443,428,577,401,487
"b4263",199,195,207,291,211,281
"b4264",131,136,144,298,209,244
"b4265",62,46,48,87,59,67
"b4266",21,21,15,51,33,37
"b4267",14,19,6,39,24,42
"b4268",8,16,4,13,10,13
"b4269",110,99,86,109,72,74
"b4272",29,19,33,57,39,48
"b4273",64,49,66,129,68,93
"b4277",1,5,3,4,1,3
"b4278",127,148,119,270,189,210
"b4279",50,56,29,85,58,59
"b4280",88,76,67,136,93,113
"b4655",2,3,6,6,3,2
"b4284",42,47,36,102,67,83
"b4287",145,136,137,176,123,154
"b4288",69,109,71,106,72,68
"b4289",87,107,84,124,81,114
"b4290",160,168,131,242,166,168
"b4291",1024,1201,839,1556,1084,1122
"b4292",1131,1397,1046,2174,1581,1594
"b4293",939,995,851,1435,1025,992
"b4294",70,78,47,163,86,119
"b4295",340,333,339,685,484,557
"b4296",40,52,45,64,52,65
"b4297",119,115,82,173,102,164
"b4298",30,23,24,48,44,58
"b4299",5,14,8,12,4,17
"b4300",23,27,32,45,26,34
"b4301",25,16,32,44,35,33
"b4302",19,20,33,29,36,31
"b4303",76,103,63,180,101,114
"b4304",18,16,23,38,23,24
"b4565",3,4,4,6,9,6
"b4305",37,56,37,95,41,61
"b4306",35,19,13,25,23,29
"b4307",8,15,15,13,8,15
"b4566",27,42,26,43,30,38
"b4309",41,35,33,76,42,72
"b4310",87,77,99,84,65,104
"b4311",5,7,3,9,3,5
"b4312",317,298,302,218,113,202
"b4313",22,21,13,66,41,63
"b4314",11112,10993,11058,13700,9857,11050
"b4315",1045,1056,980,1550,1025,1162
"b4316",625,743,591,984,630,717
"b4317",734,762,679,1045,619,775
"b4318",126,135,130,162,96,143
"b4319",122,135,110,190,154,153
"b4320",201,235,193,278,206,215
"b4321",52,44,37,73,52,72
"b4322",120,130,110,196,131,159
"b4323",99,122,110,183,131,155
"b4324",143,209,180,353,226,242
"b4325",3,6,3,6,13,4
"b4720",0,1,0,0,0,0
"b4721",7,9,1,39,15,20
"b4722",2,3,1,17,15,8
"b4326",12,9,6,39,47,46
"b4327",114,110,83,182,144,148
"b4328",268,360,254,420,274,388
"b4329",11,8,11,12,6,10
"b4330",9,13,15,10,8,6
"b4331",30,35,32,45,38,48
"b4332",42,48,32,87,58,66
"b4333",22,21,24,32,23,24
"b4715",23,19,14,31,17,22
"b4334",12,8,14,15,12,14
"b4335",31,38,36,40,23,33
"b4336",100,82,72,98,58,70
"b4337",53,38,28,64,33,63
"b4340",182,153,197,202,132,203
"b4341",6,5,0,5,4,5
"b4342",218,260,258,714,537,655
"b4345",69,89,63,161,104,111
"b4346",273,236,234,478,262,393
"b4347",12,13,8,22,10,15
"b4348",415,467,325,515,331,401
"b4349",520,591,519,737,479,674
"b4350",1082,1310,1170,2268,1481,1970
"b4351",165,153,192,288,186,225
"b4352",335,352,386,643,440,516
"b4353",14,25,19,26,23,23
"b4354",61,30,48,162,302,155
"b4355",4790,5354,4503,3692,3112,2945
"b4356",725,738,511,473,379,332
"b4357",16,24,13,81,49,82
"b4358",15,13,11,23,15,10
"b4359",394,396,372,495,342,415
"b4360",127,130,129,202,150,155
"b4361",116,132,150,245,191,227
"b4362",134,102,89,177,123,141
"b4363",15,16,12,35,19,25
"b4364",39,30,33,61,31,60
"b4365",5,7,8,9,1,3
"b4366",725,877,522,1576,995,1035
"b4367",4086,4185,3458,7484,5405,5721
"b4567",1556,2401,2496,4357,2982,2359
"b4371",254,318,234,409,265,361
"b4372",86,97,91,121,98,101
"b4373",129,111,90,154,125,167
"b4374",190,180,136,234,160,212
"b4375",970,1063,818,690,547,698
"b4376",1231,958,1054,665,476,543
"b4568",535,392,405,247,159,228
"b4377",273,292,290,438,324,384
"b4378",187,208,170,283,200,263
"b4379",18,16,21,26,17,30
"b4380",20,42,64,60,37,46
"b4381",203,192,167,673,508,535
"b4382",387,340,355,1355,956,1065
"b4383",838,905,824,2157,1567,1881
"b4384",1033,1138,1003,2427,1661,2170
"b4385",185,200,160,266,184,237
"b4386",215,252,201,447,300,407
"b4387",119,117,115,195,143,212
"b4388",308,367,310,366,271,325
"b4389",500,586,409,548,366,428
"b4390",459,532,428,539,402,434
"b4391",1683,1813,1696,2353,1640,2148
"b4392",384,333,420,664,489,610
"b4393",157,185,126,242,209,196
"b4394",159,155,160,249,183,199
"b4395",235,222,169,340,228,263
"b4396",991,1213,803,1204,872,1038
"b4397",156,163,153,231,169,187
"b4398",195,207,204,313,220,269
"b4399",135,131,118,177,110,155
"b4400",40,48,39,101,69,67
"b4401",2012,2081,2054,2522,1692,2171
"b4402",156,141,148,134,123,140
"b4403",106,98,104,144,66,110
