"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b3129",47,55,64,118,94,103
"b3130",181,191,206,363,294,316
"b3131",262,257,253,472,336,396
"b3132",25,16,19,28,23,16
"b3133",6,8,3,8,5,8
"b3136",14,18,10,19,15,19
"b3137",2,5,1,17,5,9
"b3138",1,2,3,4,2,2
"b3139",8,6,7,14,5,9
"b3140",7,15,7,15,13,11
"b3141",11,10,4,12,10,14
"b3142",14,18,16,16,8,17
"b3143",7,8,5,5,3,7
"b3144",102,91,71,131,120,118
"b3145",66,85,53,100,55,85
"b3146",196,215,189,291,208,249
"b3147",891,938,943,1557,1082,1422
"b3148",183,206,170,379,219,310
"b3149",228,237,229,387,315,345
"b3150",270,325,295,521,389,426
"b3151",259,300,175,280,225,240
"b3152",44,58,58,92,64,67
"b3153",36,41,45,50,35,32
"b3154",27,31,27,37,36,33
"b3155",31,31,26,54,38,49
"b3156",180,168,211,341,193,251
"b3157",222,253,256,387,257,349
"b3158",9,6,38,9,4,6
"b3159",14,18,12,29,20,27
"b3160",192,190,159,237,148,250
"b3161",127,152,120,325,194,279
"b3162",1699,2433,1297,1041,863,1024
"b4685",97,93,43,38,34,40
"b3163",2913,3505,2246,4236,2857,3358
"b3164",6831,7364,6238,8855,6479,7676
"b3165",2911,3124,2369,2967,2170,2490
"b3166",588,701,526,760,600,640
"b3167",229,237,221,262,198,200
"b3168",5480,6221,5408,6007,4533,5524
"b3169",2378,2846,2151,2634,1919,2339
"b3170",574,529,431,568,409,507
"b3172",2559,2322,1528,2530,1957,1525
"b3173",37,44,27,43,25,24
"b3175",2042,2046,1651,2090,1567,1904
"b3176",1215,1229,1186,1797,1235,1575
"b3177",196,184,157,277,229,264
"b3178",3797,4212,3956,5685,4188,5011
"b3179",842,830,696,1098,816,1035
"b3180",489,540,523,761,583,624
"b3181",291,238,274,148,102,142
"b3182",284,242,239,304,219,315
"b3183",536,638,515,525,371,437
"b3184",378,452,269,230,170,202
"b3185",2864,3241,2783,2783,2203,2564
"b3186",2582,2544,2244,2207,1639,1866
"b3187",1081,1141,1105,1603,990,1357
"b3188",60,55,41,49,35,41
"b3189",1254,1459,1084,1667,1251,1430
"b3190",353,310,282,389,305,333
"b3191",281,272,284,509,302,410
"b3192",546,596,530,804,579,779
"b3193",259,268,220,379,236,326
"b3194",290,287,267,425,287,394
"b3195",394,478,373,652,436,576
"b3196",172,171,121,303,227,225
"b3197",501,501,459,743,553,658
"b3198",320,340,322,458,314,425
"b3199",366,425,364,527,346,441
"b3200",501,570,570,683,517,618
"b3201",677,719,585,872,681,817
"b3202",1874,2209,1915,2810,2027,2396
"b3203",895,1055,1021,1425,1092,1228
"b3204",903,936,870,1449,980,1182
"b3205",1135,1250,1020,1744,1265,1421
"b3206",128,128,134,205,150,190
"b3207",696,844,785,1720,1189,1456
"b3208",377,439,382,858,565,770
"b3209",242,248,262,479,373,447
"b3210",442,481,475,949,654,781
"b3211",10,16,13,20,12,13
"b3212",22809,23161,20662,16285,11458,16501
"b3213",7558,7862,6934,5394,3660,5457
"b3214",134,120,96,58,42,67
"b3215",25,21,16,11,6,22
"b3216",57,85,64,113,76,99
"b3218",19,14,21,27,22,23
"b3219",44,58,60,112,49,92
"b3220",50,51,68,52,26,28
"b3221",37,28,22,61,31,26
"b3222",31,38,28,67,48,47
"b3223",20,16,25,43,20,32
"b3224",25,16,17,21,27,22
"b3225",32,23,34,69,48,47
"b3226",276,287,249,435,306,381
"b3227",29,44,34,75,41,47
"b3228",424,483,383,634,509,548
"b3229",1236,1149,1221,1775,1355,1582
"b3230",5422,6132,4631,5492,4277,4839
"b3231",5947,6341,4092,5531,4104,4821
"b3232",226,283,247,362,273,329
"b3233",644,750,809,987,658,833
"b3234",388,344,404,591,411,501
"b3235",246,234,231,363,254,351
"b3236",6904,7875,7274,10861,7033,10086
"b3237",270,355,274,599,394,468
"b3238",46,50,31,38,14,20
"b3239",26,22,26,19,7,14
"b3240",48,31,35,78,49,65
"b3241",37,29,20,48,27,58
"b3242",21,27,29,53,30,51
"b3243",218,227,204,330,193,222
"b3244",834,936,805,1167,819,1000
"b4472",574,669,462,775,512,576
"b3247",671,822,634,979,723,850
"b3248",356,472,337,506,364,455
"b3249",176,194,115,193,132,134
"b3250",660,652,546,812,649,739
"b3251",1637,1732,1563,2952,2145,2475
"b3252",273,262,262,427,295,340
"b3253",317,305,368,501,377,411
"b3255",1454,1422,1331,2354,1680,2106
"b3256",2964,3200,2513,4962,3691,4401
"b3257",12,22,6,9,11,6
"b3258",139,152,111,132,112,113
"b3259",280,285,215,293,189,273
"b3260",1834,1778,1258,1684,1233,1530
"b3261",1040,1004,685,885,737,864
"b3262",16,21,15,32,11,17
"b3263",2,5,4,6,7,3
"b3264",10,10,8,16,6,8
"b3265",11,15,11,22,11,8
"b3266",76,84,76,111,62,82
"b3267",13,20,11,28,18,21
"b3269",19,18,16,27,21,17
"b3270",7,13,8,16,8,20
"b3271",34,57,31,69,48,31
"b3279",308,353,308,309,239,290
"b3280",140,184,150,144,94,121
"b3281",330,382,245,290,206,273
"b3282",313,337,268,335,179,250
"b3283",535,511,477,710,477,581
"b3284",572,645,593,1207,885,1075
"b4473",78,102,103,134,91,88
"b3287",538,506,388,652,502,574
"b3288",842,846,660,1161,747,945
"b3289",466,516,420,666,486,580
"b3290",302,332,308,491,350,455
"b3291",364,316,289,477,295,384
"b4550",89,77,80,203,141,174
"b3292",93,84,91,212,158,167
"b3293",75,79,74,156,100,143
"b3294",6718,8114,6249,7374,5488,6589
"b3295",19969,21854,17326,21142,15609,18451
"b3296",11857,13593,11761,13259,10039,12294
"b3297",8719,9869,8006,10019,7534,8887
"b3298",7933,8661,7258,8362,6592,7569
"b3299",2509,2928,2736,2973,2338,2616
"b3300",18423,20442,15591,21186,15715,18135
"b3301",6903,7587,6547,7872,6209,7235
"b3302",1743,1899,1595,1914,1537,1833
"b3303",7728,9138,7393,9696,7331,8653
"b3304",4173,4456,3672,4760,3671,4147
"b3305",7522,7632,6226,8632,6412,7659
"b3306",6178,7283,5496,7649,5805,6908
"b3307",7653,8552,6091,9274,6890,8136
"b3308",10061,11035,9594,12931,9652,11509
"b3309",5403,6008,5031,6930,5423,6109
"b3310",7202,7185,6142,8676,6258,7376
"b3311",3688,3894,3169,3722,2731,3245
"b3312",2327,2669,2412,2718,2049,2411
"b3313",5630,5820,4986,6017,4531,5194
"b3314",9882,10766,8227,10755,8288,9557
"b3315",5669,5952,4844,5766,4244,5092
"b3316",4415,4966,4003,4874,3659,4257
"b3317",13103,13908,11400,13359,10230,11656
"b3318",5848,6585,5688,6478,4768,5922
"b3319",6956,7305,6341,7330,5634,6315
